iter	Logloss
0	0.6890091607
1	0.6851324463
2	0.681000275
3	0.6775712913
4	0.6744190891
5	0.6714208571
6	0.6685970839
7	0.666047428
8	0.6636523978
9	0.6612394911
10	0.6589812753
11	0.6569488432
12	0.6550124981
13	0.6531765868
14	0.650843283
15	0.6491610811
16	0.6475892063
17	0.6461371612
18	0.6447835041
19	0.6434857009
20	0.6423112893
21	0.6405348733
22	0.6393653589
23	0.6383061418
24	0.6372678273
25	0.6363641716
26	0.6349770802
27	0.6341573587
28	0.6328777832
29	0.6320726986
30	0.6313796265
31	0.630662761
32	0.6294909447
33	0.6288761205
34	0.6282676734
35	0.6276613711
36	0.6271231697
37	0.6266060115
38	0.6260906247
39	0.6255850554
40	0.6246944534
41	0.6242361813
42	0.6234061497
43	0.6226207958
44	0.6222437588
45	0.6212213313
46	0.620405826
47	0.6194832027
48	0.6190992961
49	0.6187766588
50	0.6183853647
51	0.6180666287
52	0.6173136697
53	0.6170078353
54	0.61669565
55	0.6163692519
56	0.6161149744
57	0.6154794693
58	0.6152146614
59	0.6146906971
60	0.6140574205
61	0.6138179995
62	0.6132916627
63	0.6123224762
64	0.6116919595
65	0.611434441
66	0.6105066124
67	0.6100592765
68	0.6092459006
69	0.6090025641
70	0.6084445203
71	0.6082460806
72	0.6080340946
73	0.6078524
74	0.6073018177
75	0.6065576219
76	0.6063836484
77	0.6062202582
78	0.6060225049
79	0.6058533454
80	0.6056679424
81	0.6051782607
82	0.6047215753
83	0.6043242341
84	0.6034303947
85	0.6033011418
86	0.6031720217
87	0.6025101681
88	0.6009986296
89	0.6000057942
90	0.599353381
91	0.5992135603
92	0.5990620847
93	0.598385958
94	0.5980889466
95	0.597250392
96	0.5969357966
97	0.5967934502
98	0.5962029728
99	0.596068951
100	0.5958909767
101	0.5957812199
102	0.5949843607
103	0.5948666331
104	0.5947493696
105	0.5945805047
106	0.5941602216
107	0.5936640661
108	0.5935361336
109	0.5932093161
110	0.5926815547
111	0.5924343815
112	0.5919313977
113	0.5918257549
114	0.5912133402
115	0.5906932557
116	0.5906143306
117	0.5903589778
118	0.5899423354
119	0.5893183274
120	0.5892363191
121	0.5891511681
122	0.5890698595
123	0.5884409231
124	0.5878370646
125	0.5872644742
126	0.5867502944
127	0.5866102981
128	0.5865032768
129	0.5861024408
130	0.5855407487
131	0.5854673773
132	0.5853414535
133	0.5852549258
134	0.5848371439
135	0.5844854359
136	0.5844134683
137	0.5842036703
138	0.5838622161
139	0.5837953091
140	0.5832568403
