iter	Passed	Remaining
0	50	17688
1	86	15039
2	124	14382
3	161	13987
4	197	13632
5	233	13390
6	271	13288
7	311	13329
8	351	13313
9	389	13246
10	434	13404
11	487	13726
12	528	13712
13	569	13677
14	614	13715
15	649	13551
16	683	13394
17	720	13285
18	757	13189
19	793	13090
20	832	13042
21	870	12980
22	908	12915
23	946	12858
24	985	12817
25	1029	12834
26	1077	12895
27	1114	12818
28	1153	12764
29	1188	12678
30	1225	12609
31	1262	12545
32	1300	12495
33	1335	12412
34	1369	12327
35	1404	12249
36	1440	12186
37	1475	12117
38	1510	12044
39	1547	11996
40	1587	11963
41	1624	11910
42	1662	11870
43	1700	11823
44	1733	11746
45	1774	11724
46	1812	11684
47	1850	11645
48	1885	11579
49	1921	11528
50	1955	11462
51	1989	11402
52	2028	11366
53	2063	11312
54	2097	11249
55	2132	11195
56	2168	11145
57	2206	11111
58	2240	11052
59	2279	11015
60	2317	10978
61	2353	10933
62	2391	10892
63	2431	10864
64	2468	10825
65	2503	10773
66	2542	10739
67	2581	10704
68	2620	10672
69	2657	10629
70	2697	10598
71	2731	10546
72	2764	10490
73	2799	10441
74	2839	10412
75	2883	10397
76	2919	10352
77	2958	10316
78	2991	10260
79	3026	10214
80	3059	10159
81	3096	10121
82	3135	10085
83	3175	10054
84	3213	10018
85	3252	9982
86	3286	9935
87	3324	9897
88	3364	9865
89	3402	9828
90	3439	9788
91	3478	9754
92	3516	9716
93	3554	9679
94	3594	9648
95	3634	9614
96	3672	9577
97	3705	9528
98	3743	9492
99	3777	9443
100	3816	9408
101	3853	9369
102	3892	9333
103	3925	9284
104	3960	9240
105	3993	9192
106	4036	9166
107	4080	9142
108	4115	9098
109	4154	9063
110	4192	9028
111	4231	8992
112	4270	8956
113	4305	8913
114	4343	8876
115	4382	8839
116	4419	8800
117	4456	8762
118	4495	8725
119	4532	8687
120	4565	8639
121	4599	8595
122	4636	8556
123	4678	8526
124	4718	8492
125	4757	8457
126	4795	8419
127	4832	8382
128	4868	8339
129	4907	8305
130	4945	8268
131	4979	8223
132	5013	8180
133	5049	8139
134	5088	8103
135	5128	8069
136	5160	8023
137	5207	8000
138	5247	7966
139	5282	7924
140	5322	7889
141	5357	7847
142	5401	7818
143	5441	7784
144	5479	7747
145	5516	7707
146	5550	7664
147	5590	7630
148	5630	7595
149	5669	7559
150	5711	7527
151	5748	7488
152	5783	7446
153	5816	7402
154	5854	7365
155	5907	7346
156	5940	7303
157	5979	7266
158	6013	7224
159	6051	7186
160	6091	7151
161	6125	7108
162	6166	7074
163	6209	7041
164	6245	7002
165	6284	6966
166	6325	6931
167	6360	6890
168	6393	6847
169	6427	6806
170	6468	6770
171	6503	6729
172	6540	6691
173	6574	6649
174	6609	6609
175	6644	6568
176	6681	6530
177	6714	6487
178	6748	6447
179	6785	6408
180	6824	6371
181	6864	6336
182	6905	6301
183	6941	6262
184	6974	6220
185	7011	6182
186	7050	6145
187	7088	6107
188	7124	6068
189	7162	6031
190	7201	5994
191	7239	5957
192	7277	5919
193	7316	5883
194	7348	5841
195	7387	5804
196	7421	5764
197	7456	5724
198	7494	5687
199	7529	5646
200	7563	5606
201	7597	5566
202	7633	5527
203	7671	5490
204	7707	5451
205	7746	5414
206	7781	5375
207	7819	5338
208	7853	5298
209	7895	5263
210	7932	5225
211	7966	5185
212	7998	5144
213	8037	5107
214	8078	5072
215	8113	5033
216	8152	4996
217	8184	4955
218	8225	4920
219	8263	4882
220	8304	4847
221	8345	4811
222	8382	4773
223	8422	4737
224	8460	4700
225	8500	4663
226	8533	4624
227	8566	4583
228	8607	4547
229	8641	4508
230	8676	4469
231	8713	4432
232	8747	4392
233	8786	4355
234	8817	4315
235	8851	4275
236	8894	4240
237	8934	4204
238	8970	4166
239	9009	4129
240	9044	4090
241	9085	4054
242	9123	4017
243	9162	3980
244	9196	3941
245	9230	3902
246	9269	3865
247	9303	3826
248	9340	3788
249	9381	3752
250	9415	3713
251	9452	3675
252	9486	3637
253	9518	3597
254	9558	3561
255	9591	3521
256	9624	3482
257	9663	3446
258	9698	3407
259	9740	3371
260	9776	3333
261	9816	3297
262	9850	3258
263	9885	3220
264	9926	3183
265	9966	3147
266	10006	3110
267	10040	3071
268	10079	3035
269	10116	2997
270	10149	2958
271	10190	2922
272	10232	2885
273	10265	2847
274	10301	2809
275	10339	2772
276	10377	2734
277	10414	2697
278	10453	2660
279	10489	2622
280	10527	2585
281	10561	2546
282	10599	2509
283	10639	2472
284	10673	2434
285	10710	2396
286	10750	2359
287	10786	2322
288	10821	2284
289	10861	2247
290	10895	2209
291	10933	2171
292	10968	2133
293	11003	2095
294	11043	2058
295	11076	2020
296	11110	1982
297	11144	1944
298	11181	1907
299	11223	1870
300	11255	1832
301	11289	1794
302	11328	1757
303	11366	1719
304	11401	1682
305	11441	1645
306	11480	1608
307	11521	1571
308	11556	1533
309	11597	1496
310	11634	1459
311	11673	1421
312	11708	1384
313	11746	1346
314	11779	1308
315	11815	1271
316	11852	1233
317	11889	1196
318	11924	1158
319	11963	1121
320	11999	1084
321	12033	1046
322	12066	1008
323	12105	971
324	12138	933
325	12173	896
326	12207	858
327	12242	821
328	12274	783
329	12308	745
330	12341	708
331	12374	670
332	12407	633
333	12445	596
334	12478	558
335	12513	521
336	12549	484
337	12584	446
338	12621	409
339	12654	372
340	12691	334
341	12723	297
342	12762	260
343	12796	223
344	12834	186
345	12868	148
346	12905	111
347	12944	74
348	12985	37
349	13018	0
